row_label,strat_type,sex,value,breakdown_cat_label,breakdown_var,outcome_var,table_id
H - Trasporto e magazzinaggio,sector,Male,12.3,≤ lower secondary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Male,14.2,upper secondary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Male,18.9,tertiary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Male,13.9,total,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Total,12.1,≤ lower secondary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Total,14,upper secondary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Total,17.5,tertiary,education,hourly_wage,Tav.1
H - Trasporto e magazzinaggio,sector,Total,13.8,total,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Female,10.1,≤ lower secondary,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Female,10.5,upper secondary,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Female,11.7,tertiary,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Female,10.4,total,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Male,10.9,≤ lower secondary,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Male,11.4,upper secondary,education,hourly_wage,Tav.1
I - Attività dei servizi di alloggio e di ristorazione,sector,Male,14,tertiary,education,hourly_wage,Tav.1
