row_label,strat_type,sex,breakdown_cat,value,breakdown_var,outcome_var,table_id,nuts1
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,≤ lower secondary,12.9,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,upper secondary,14.3,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,tertiary,20.1,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Male,total,14.2,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,≤ lower secondary,12.8,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,upper secondary,14.2,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,tertiary,18.8,education,hourly_wage,Tav.1,NA
"E - Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento",sector,Total,total,14.2,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Female,≤ lower secondary,11.2,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Female,upper secondary,12.7,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Female,tertiary,15.1,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Female,total,13.1,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Male,≤ lower secondary,13,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Male,upper secondary,13.7,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Male,tertiary,20.6,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Male,total,13.8,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Total,≤ lower secondary,12.9,education,hourly_wage,Tav.1,NA
